version,1.3.0
info,team,Bahamas
info,team,Bermuda
info,gender,male
info,season,2010
info,date,2010/05/28
info,competition,ICC World Cricket League Americas Region Division One 2010
info,venue,National Stadium
info,city,Hamilton
info,toss_winner,Bermuda
info,toss_decision,field
info,player_of_match,K Tucker
info,umpire,H Smythe
info,umpire,K Bayney
info,reserve_umpire,R Austin
info,match_referee,AFG Griffith
info,winner,Bermuda
info,winner_wickets,7
ball,1,8.4,Bahamas,H Gilliard,R Parkes,MO Jones,0,0,"",""
ball,1,8.5,Bahamas,H Gilliard,R Parkes,MO Jones,0,1,"",""
ball,1,8.6,Bahamas,H Gilliard,R Parkes,MO Jones,0,0,"",""
ball,1,8.7,Bahamas,H Gilliard,R Parkes,MO Jones,0,0,"",""
ball,1,9.1,Bahamas,R Parkes,H Gilliard,K Tucker,0,0,"",""
ball,1,9.2,Bahamas,R Parkes,H Gilliard,K Tucker,0,0,caught,R Parkes
ball,1,9.3,Bahamas,GT Taylor,H Gilliard,K Tucker,0,0,"",""
ball,1,9.4,Bahamas,GT Taylor,H Gilliard,K Tucker,0,0,"",""
ball,1,9.5,Bahamas,GT Taylor,H Gilliard,K Tucker,0,0,"",""
ball,1,9.6,Bahamas,GT Taylor,H Gilliard,K Tucker,0,0,lbw,GT Taylor
ball,1,10.1,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,10.2,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,10.3,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,10.4,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,10.5,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,10.6,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,11.1,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,11.2,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,11.3,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,11.4,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,11.5,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,11.6,Bahamas,DG Weakley,H Gilliard,K Tucker,1,0,"",""
ball,1,12.1,Bahamas,DG Weakley,H Gilliard,MO Jones,0,1,"",""
ball,1,12.2,Bahamas,DG Weakley,H Gilliard,MO Jones,4,0,"",""
ball,1,12.3,Bahamas,DG Weakley,H Gilliard,MO Jones,0,0,"",""
ball,1,12.4,Bahamas,DG Weakley,H Gilliard,MO Jones,1,0,"",""
ball,1,12.5,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
